year,Annapurna I,Broad Peak,Chooyu,Dhaulagiri I,Everest,Gasherbrum I,Gasherbrum II,K2,Kangchenjunga,Lhotse,Makalu,Manaslu,Nanga Parbat,Shishapangma
1895,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1905,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1922,0,0,0,0,7,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,4,0,0,0,0,0,0,0,0,0
1929,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,4,0,0,0,0,0
1934,0,0,0,0,1,0,0,0,0,0,0,0,10,0
1937,0,0,0,0,0,0,0,0,0,0,0,0,16,0
1939,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0,0,0,0,0,2,0
1952,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1954,0,0,0,1,0,0,0,1,0,0,1,0,0,0
1955,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1956,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1958,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,4,1,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,2,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1963,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1964,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1969,0,0,0,7,1,0,0,0,0,0,0,0,0,0
1970,1,0,0,0,7,0,0,0,0,0,0,0,1,0
1971,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1972,0,0,0,0,1,0,0,0,0,0,0,17,0,0
1973,7,0,0,0,1,0,0,0,1,0,1,0,0,0
1974,0,0,0,0,6,0,0,0,0,1,0,1,0,0
1975,1,3,0,5,3,0,1,0,0,0,0,0,0,0
1976,0,0,0,0,1,0,3,0,0,0,1,0,1,0
1977,0,0,0,0,0,1,0,0,1,1,0,0,2,0
1978,2,0,0,5,2,0,0,1,0,0,1,0,0,0
1979,4,0,0,3,6,0,0,2,0,0,0,1,0,0
1980,0,0,0,1,3,0,0,0,2,2,0,0,0,0
1981,5,1,0,1,1,0,0,0,1,2,0,0,0,0
1982,5,0,1,0,11,0,3,2,0,0,1,3,4,0
1983,3,1,0,0,3,0,0,0,0,0,2,3,4,1
1984,4,0,0,1,8,0,0,0,0,0,1,0,5,0
1985,0,2,0,0,7,0,2,1,2,1,0,2,1,0
1986,1,1,1,1,4,2,1,13,1,1,1,2,0,0
1987,3,0,0,0,4,4,1,1,4,5,0,1,0,0
1988,4,1,2,0,10,1,3,0,1,0,1,0,0,0
1989,2,0,1,6,8,1,1,1,3,1,0,1,2,1
1990,0,1,1,2,4,2,0,0,0,0,0,6,2,1
1991,7,0,2,0,2,0,0,0,3,0,2,2,0,6
1992,1,0,1,3,5,0,0,1,3,0,0,2,0,0
1993,0,0,0,1,8,1,0,5,0,0,0,2,1,1
1994,0,2,3,2,5,0,0,5,3,0,0,0,1,2
1995,0,1,0,2,3,0,0,8,3,0,1,2,0,0
1996,0,3,3,0,15,1,0,2,0,0,1,1,2,4
1997,3,2,0,0,9,0,0,0,0,1,3,2,1,0
1998,1,2,3,4,5,4,0,0,2,0,0,2,1,1
1999,2,1,1,2,4,0,0,1,2,0,2,0,0,2
2000,0,0,6,2,2,0,1,0,1,1,1,0,0,0
2001,0,0,1,4,5,1,1,1,0,0,1,1,0,0
2002,0,0,2,0,3,0,0,2,1,0,1,0,0,0
2003,0,0,3,0,4,4,0,1,0,2,0,0,0,0
2004,2,0,1,0,7,1,0,7,0,0,2,0,1,0
2005,1,0,1,0,6,1,0,0,0,0,1,0,0,2
2006,1,1,1,0,11,0,0,4,0,1,1,1,2,1
2007,1,0,0,3,7,1,3,2,1,1,0,0,0,1
2008,1,1,2,2,1,1,0,11,0,0,2,2,2,0
2009,1,1,2,2,4,0,1,1,0,1,1,3,2,1
2010,1,0,2,7,3,0,0,2,0,1,1,3,0,0
2011,3,1,3,0,5,0,1,0,0,0,1,4,0,0
2012,3,2,0,0,10,3,0,1,0,2,0,13,0,0
2013,0,6,0,3,9,5,0,2,5,1,1,0,12,1
2014,0,0,0,5,16,0,0,1,3,1,1,1,0,2
2015,2,1,0,0,16,0,1,0,0,2,0,1,0,0
2016,0,0,0,2,7,0,0,0,0,1,2,1,0,3
2017,0,0,0,1,5,0,0,0,0,0,0,1,2,0
2018,0,0,1,2,5,0,0,2,0,1,1,2,1,1
2019,1,0,1,0,12,0,0,0,3,1,4,1,2,0
2021,0,1,0,0,4,0,0,6,0,0,0,1,0,0
2022,0,0,0,1,2,0,0,0,1,0,0,0,0,0
